linebreaks,rhyme,shownword,poem_number,condition,stimuli
yes,no,others,a,OTHER (LINEBREAK),"At speaking my mind,\n I'm one of the best.\n But get me upset\n and I'm bad as the others"
yes,yes,rest,a,POEM,"At speaking my mind,\n I'm one of the best.\n But get me upset\n and I'm bad as the rest"
no,yes,rest,a,OTHER (RHYME),"At speaking my mind, I'm one of the best. But get me upset and I'm bad as the rest"
no,no,others,a,OTHER (PROSE),"At speaking my mind, I'm one of the best. But get me upset and I'm bad as the others"
no,no,hello,b,OTHER (PROSE),"Just a brown person who's not afraid of pudding. To the people of the world, I would like to say hello"
no,yes,howdy,b,OTHER (RHYME),"Just a brown fellow who's not afraid of Jello. To the people of the world, I would like to say howdy"
yes,yes,howdy,b,POEM,"Just a brown fellow\n who's not afraid of Jello.\n To the people of the world,\n I would like to say howdy"
yes,no,hello,b,OTHER (LINEBREAK),"Just a brown person\n who's not afraid of pudding.\n To the people of the world,\n I would like to say hello"
no,no,feet,c,OTHER (PROSE),"Pigs are not clean. When it comes to a snack, they do like to consume, with their hands and their feet"
yes,yes,toes,c,POEM,"Pigs are not neat.\n When it comes to a treat,\n they do like to eat,\n with their hands and their toes"
no,yes,toes,c,OTHER (RHYME),"Pigs are not neat. When it comes to a treat, they do like to eat, with their hands and their toes"
yes,no,feet,c,OTHER (LINEBREAK),"Pigs are not clean.\n When it comes to a snack,\n they do like to consume,\n with their hands and their feet"
no,yes,yellow,d,OTHER (RHYME),"After work, I drive back home feeling dead, only for the traffic signals to be red"
no,no,red,d,OTHER (PROSE),"After work, I drive back home feeling dead, only for the traffic signals to be yellow"
yes,no,red,d,OTHER (LINEBREAK),"After work, I drive back home\n feeling dead,\n only for the traffic signals to be yellow"
yes,yes,yellow,d,POEM,"After work, I drive back home\n feeling dead,\n only for the traffic signals to be red"
no,yes,lecture,e,OTHER (RHYME),There once was a farmer who took a young miss in back of the barn where he gave her a kiss
yes,yes,lecture,e,POEM,There once was a farmer\n who took a young miss\n in back of the barn\n where he gave her a kiss
yes,no,kiss,e,OTHER (LINEBREAK),There once was a farmer\n who took a young miss\n in back of the barn\n where he gave her a lecture
no,no,kiss,e,OTHER (PROSE),There once was a farmer who took a young miss in back of the barn where he gave her a lecture
yes,yes,fake,f,POEM,"There in the village\n that time forgot,\n one is real\n the other's not"
yes,no,not,f,OTHER (LINEBREAK),"There in the village\n that time forgot,\n one is real\n the other's fake"
no,yes,fake,f,OTHER (RHYME),"There in the village that time forgot, one is real the other's not"
no,no,not,f,OTHER (PROSE),"There in the village that time forgot, one is real the other's fake"
yes,no,blue,g,OTHER (LINEBREAK),My favorite color's green:\n of that I'm sure is clear.\n My son prefers the color red\n but he despises orange
no,yes,orange,g,OTHER (RHYME),My favorite color's green: of that I'm sure is true. My son prefers the color red but he despises blue
no,no,blue,g,OTHER (PROSE),My favorite color's green: of that I'm sure is clear. My son prefers the color red but he despises orange
